dataset,fraction,outer_id,model_seed,target,original_class,no_aug_f1
3W,1.0,31002,42,1,2,0.05407520104325147
3W,1.0,31002,42,2,8,0.16789894063149202
3W,1.0,31002,42,3,9,0.3866892620551533
3W,1.0,31002,43,0,0,0.09693586627052009
3W,1.0,31002,43,1,2,0.05418804905627555
3W,1.0,31002,43,2,8,0.1661470101869501
3W,1.0,31002,43,3,9,0.37320574162679426
3W,1.0,31002,44,0,0,0.8478338834485232
3W,1.0,31002,44,1,2,0.31082870002647606
3W,1.0,31002,44,2,8,0.3950506590155115
3W,1.0,31002,44,3,9,0.4920807116511174
3W,1.0,31002,45,0,0,0.8041890658281773
3W,1.0,31002,45,1,2,0.0762313509094625
3W,1.0,31002,45,2,8,0.3925038731974735
3W,1.0,31002,45,3,9,0.6263778031166857
3W,1.0,31002,46,0,0,0.040423703366225916
3W,1.0,31002,46,1,2,0.018326331659762576
3W,1.0,31002,46,2,8,0.3572522423977248
3W,1.0,31002,46,3,9,0.4924397221087045
3W,1.0,31003,42,0,0,0.1838180151654029
3W,1.0,31003,42,1,2,0.11814795103778605
3W,1.0,31003,42,2,8,0.8616024018984437
3W,1.0,31003,42,3,9,0.11334052499101042
3W,1.0,31003,43,0,0,0.34782198310444096
3W,1.0,31003,43,1,2,0.0999000999000999
3W,1.0,31003,43,2,8,0.875927405547312
3W,1.0,31003,43,3,9,0.003841488071168621
3W,1.0,31003,44,0,0,0.239172450144953
3W,1.0,31003,44,1,2,0.024411407415977325
3W,1.0,31003,44,2,8,0.6807437872054616
3W,1.0,31003,44,3,9,0.0
3W,1.0,31003,45,0,0,0.39629709987705214
3W,1.0,31003,45,1,2,0.022168125550318538
3W,1.0,31003,45,2,8,0.6842052230944682
3W,1.0,31003,45,3,9,0.006975933031042902
3W,1.0,31003,46,0,0,0.028574079228128768
3W,1.0,31003,46,1,2,0.05075807514831905
3W,1.0,31003,46,2,8,0.8076635753793681
3W,1.0,31003,46,3,9,0.0017364341085271318
