dataset,method,track,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_cell_macro_f1
TEP,FINAL_QDIFFCL,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,9,0.9457467349987811,0.027518194701217562,0.983604689008902,0.011945466610258847,0.022834089581069656,0.003849214036148185,0.9101871947322384,0.06001310354936918,0.8777777777777778,0.09647280608966866,84.11817363922627,10.308508914796379,0.901168684507708
TEP,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32001,3,0.9609136566547921,0.003538275850469638,0.9919223656583794,0.001653649647361481,0.01028101439342015,0.005440201462093058,0.9269868014602639,0.010962775229398002,0.8958333333333334,0.028182810955143103,81.34358974358975,1.1352431987532834,
TEP,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32002,3,0.9263138058566186,0.015160972168456783,0.9807449513992532,0.011935755414516266,0.009517011658339283,0.008455558241216682,0.8539736029205279,0.022767211523402702,0.7833333333333333,0.03442231592053813,102.51646423751686,8.033495380664935,
TEP,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32003,3,0.963899106540957,0.010966494315308023,0.9945184905116159,0.0025296968750605302,0.033879035925420645,0.015589776913526102,0.9619205298013244,0.012851137993592759,0.9562499999999999,0.022534695471649914,75.39999999999999,1.4422205101855945,
TEP,FRERA,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,9,0.9503755230174559,0.020891455246147883,0.9890619358564162,0.007318752551419931,0.017892353992393358,0.013850141676735242,0.9142936447273721,0.055081502581504814,0.8784722222222222,0.0877559088440034,86.42001799370219,14.253183890627302,0.909875366568915
TEP,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32001,3,0.9370499670597338,0.02985344339939872,0.9790101214986365,0.01606942749148183,0.02490290153072881,0.02101772105479904,0.8930075821398483,0.04018278017763041,0.8375,0.07603453162872774,85.71754385964913,13.423343801679891,
TEP,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32002,3,0.9224084864063583,0.015301218131468156,0.9747426565604527,0.010560006882735215,0.015227218653342851,0.00647663934752139,0.8522886829542263,0.026134370616798564,0.7958333333333334,0.014433756729740658,97.05128205128206,10.305523435553203,
TEP,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,split,32003,3,0.9755881465806312,0.009901796956978043,0.997028154811035,0.001809235939350167,0.021145975443383355,0.01212577683126274,0.9721302428256071,0.008291931126554467,0.9791666666666666,0.0036084391824351483,73.13333333333334,0.2309401076758536,
TEP,NO_AUG,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,9,0.9450155333489078,0.027470106457624176,0.9835936442900414,0.011828667251794394,0.020425365209151673,0.004877926723331803,0.9058088359732274,0.060937705428424076,0.8708333333333332,0.09610468828892325,85.30071974808817,11.964421192585544,0.9027129238122751
TEP,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,split,32001,3,0.7578759685042166,0.009594868742704337,0.8515262361551229,0.011888158715885923,0.17569111263422435,0.047616049916135175,0.6882898062342039,0.0416059249363631,0.5583333333333333,0.05315562842572114,140.11880341880342,13.994993077932184,
