dataset,method,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_seed_macro_f1
TEP,JITTER,split,32002,5,0.925291182341849,0.010991104168672688,0.9784467459927229,0.009458072569742921,0.01270521056388294,0.006982610764537101,0.8554338668913225,0.018123662085290426,0.7975,0.023634588001486306,93.46475033738191,8.119721140959884,
TEP,JITTER,split,32003,5,0.9732654489423377,0.006904023192173084,0.9968381305296864,0.0012908414727544892,0.022100954979536153,0.012884822868341167,0.9682119205298013,0.008694023743785514,0.985,0.00559016994374951,73.16,0.4560701700396567,
TEP,JITTER,overall,ALL,15,0.9469696539259317,0.024318147970655617,0.9856675370984743,0.009811292478785698,0.018090517598320414,0.004846411373746783,0.9071798791544157,0.05695959180091322,0.875,0.09788385975225947,84.88410256410256,10.511027665376725,0.9031954652964256
TEP,SCALING,split,32001,5,0.9378589536842554,0.027011144697029532,0.9800214717147879,0.012579700076882416,0.02069910897875257,0.01645247861894423,0.8898062342038753,0.040020839600625774,0.8375,0.0839689302659025,90.14758434547909,13.853813659095396,
TEP,SCALING,split,32002,5,0.9253741589411035,0.010919230402536725,0.977557578003518,0.008197536104040953,0.013704496788008563,0.0055610424499022,0.8567818028643639,0.024263725061355775,0.8075000000000001,0.02809025631780531,92.75122807017543,6.369373025918085,
TEP,SCALING,split,32003,5,0.9742739420457569,0.006644996594917936,0.996667395656119,0.0014335250762462658,0.026739427012278306,0.009182165713759257,0.9759933774834437,0.009933774834437087,0.99,0.00947859430506445,72.92,0.334664010613635,
TEP,SCALING,overall,ALL,15,0.9458356848903721,0.02540705369521446,0.9847488151248083,0.010395052403240318,0.02038101092634648,0.006523284545848328,0.9075271381838942,0.06154975799458435,0.8783333333333333,0.09786257371096124,85.27293747188484,10.776875163956856,0.9011241360827655
TEP,JITTER_SCALING,split,32001,5,0.9442883019623627,0.02157443492881707,0.9822376585452763,0.012098833712041929,0.01644962302947224,0.009920572190630656,0.8985678180286436,0.03545645748735574,0.8474999999999999,0.06681948630452045,86.64226720647773,9.939980385663096,
TEP,JITTER_SCALING,split,32002,5,0.9280628032000553,0.005853774528710516,0.9800712354128208,0.00584286034445684,0.014132762312633834,0.00635220427160228,0.8628475147430497,0.014351522793615727,0.81375,0.028090256317805293,93.00037786774628,5.8084379129862596,
TEP,JITTER_SCALING,split,32003,5,0.97511194021642,0.00686347762210402,0.9971100035221859,0.0012400434275151265,0.026739427012278306,0.011055950003288687,0.9778145695364238,0.0045867202573493535,0.99,0.0071260964068696215,72.92,0.334664010613635,
