run_id,dataset,outer_seed,model_seed,method,group_id,fault_id,windows,macro_f1,auprc,far,fault_recall,early_recall,detection_delay
3w-outer31001-seed43-final_qdiffcl,3W,31001,43,FINAL_QDIFFCL,WELL-00011,,3529,0.44635549870089647,0.9851359923112142,0.0,0.8620848708487084,0.8297266514806378,749.2307692307693
3w-outer31001-seed43-final_qdiffcl,3W,31001,43,FINAL_QDIFFCL,WELL-00013,,319,0.924467504658369,0.9941412923676313,0.0,0.8878048780487805,0.8736263736263736,763.0
3w-outer31001-seed43-final_qdiffcl,3W,31001,43,FINAL_QDIFFCL,WELL-00016,,2007,0.26114206128133705,0.999734881626032,0.35603892386949054,1.0,1.0,6.0
3w-outer31001-seed43-final_qdiffcl,3W,31001,43,FINAL_QDIFFCL,WELL-00019,,34543,0.41264329456284216,0.900691539298862,0.6487804878048781,0.8570473984319316,0.8662333380434271,43.0
3w-outer31001-seed43-final_qdiffcl,3W,31001,43,FINAL_QDIFFCL,WELL-00020,,120,0.0,1.0,1.0,1.0,1.0,21.0
3w-outer31001-seed43-final_qdiffcl,3W,31001,43,FINAL_QDIFFCL,WELL-00029,,4488,0.6404988186986579,0.9999137205387205,0.0,0.9937037037037038,0.9933929265448892,59.0
3w-outer31001-seed43-frera,3W,31001,43,FRERA,WELL-00006,,63214,0.45592412166698226,0.0,0.16202107128167811,nan,,
3w-outer31001-seed43-frera,3W,31001,43,FRERA,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-frera,3W,31001,43,FRERA,WELL-00011,,3529,0.5373796358412101,0.9877028142174227,0.0,0.8916051660516605,0.8661731207289294,591.6923076923077
3w-outer31001-seed43-frera,3W,31001,43,FRERA,WELL-00013,,319,0.889901737859347,0.9971657852500855,0.0,0.8341463414634146,0.8131868131868132,1115.0
3w-outer31001-seed43-frera,3W,31001,43,FRERA,WELL-00016,,2007,0.1587440034888792,0.9991845399618579,0.6874642243846594,1.0,1.0,6.0
3w-outer31001-seed43-frera,3W,31001,43,FRERA,WELL-00019,,34543,0.3434761295862644,0.9166573533825852,0.48565522943365025,0.8172665716322167,0.8370778578493712,51.0
3w-outer31001-seed43-frera,3W,31001,43,FRERA,WELL-00020,,120,0.0,0.732936507936508,1.0,1.0,1.0,21.0
3w-outer31001-seed43-frera,3W,31001,43,FRERA,WELL-00029,,4488,0.44397364959682634,0.9801039192476249,0.7063758389261745,0.9525925925925925,0.9937815779246016,27.0
3w-outer31001-seed43-jitter,3W,31001,43,JITTER,WELL-00006,,63214,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-jitter,3W,31001,43,JITTER,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-jitter,3W,31001,43,JITTER,WELL-00011,,3529,0.4341749762162639,0.9856319712500493,0.0,0.8201107011070111,0.7779043280182233,973.2307692307693
3w-outer31001-seed43-jitter,3W,31001,43,JITTER,WELL-00013,,319,0.9149647309711286,0.9948478602667961,0.0,0.8731707317073171,0.8571428571428571,859.0
3w-outer31001-seed43-jitter,3W,31001,43,JITTER,WELL-00016,,2007,0.3148036253776435,0.9992415512077104,0.10532341156267888,1.0,1.0,6.0
3w-outer31001-seed43-jitter,3W,31001,43,JITTER,WELL-00019,,34543,0.3473651056655372,0.8739664606600877,0.4628358825961141,0.835931931575196,0.8447553106306815,43.0
3w-outer31001-seed43-jitter,3W,31001,43,JITTER,WELL-00020,,120,0.0,1.0,1.0,1.0,1.0,21.0
3w-outer31001-seed43-jitter,3W,31001,43,JITTER,WELL-00029,,4488,0.48016653576110613,0.9999143676706319,0.0,0.9925925925925926,0.9922269724057521,91.0
3w-outer31001-seed43-jitter_scaling,3W,31001,43,JITTER_SCALING,WELL-00006,,63214,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-jitter_scaling,3W,31001,43,JITTER_SCALING,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-jitter_scaling,3W,31001,43,JITTER_SCALING,WELL-00011,,3529,0.46475147874058087,0.983108352715901,0.0,0.8496309963099631,0.8143507972665148,815.6923076923077
3w-outer31001-seed43-jitter_scaling,3W,31001,43,JITTER_SCALING,WELL-00013,,319,0.934036393713813,0.9943216027346141,0.0,0.9024390243902439,0.8901098901098901,667.0
3w-outer31001-seed43-jitter_scaling,3W,31001,43,JITTER_SCALING,WELL-00016,,2007,0.3014529110483955,0.9997646432508163,0.17458500286204923,1.0,1.0,6.0
3w-outer31001-seed43-jitter_scaling,3W,31001,43,JITTER_SCALING,WELL-00019,,34543,0.33482560358558444,0.889756763137422,0.5249276560562216,0.8499643620812545,0.8594508030709811,43.0
3w-outer31001-seed43-jitter_scaling,3W,31001,43,JITTER_SCALING,WELL-00020,,120,0.0,1.0,1.0,1.0,1.0,21.0
3w-outer31001-seed43-jitter_scaling,3W,31001,43,JITTER_SCALING,WELL-00029,,4488,0.6438129301853683,0.9999177310413265,0.0,0.9937037037037038,0.9933929265448892,59.0
3w-outer31001-seed43-no_aug,3W,31001,43,NO_AUG,WELL-00006,,63214,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-no_aug,3W,31001,43,NO_AUG,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-no_aug,3W,31001,43,NO_AUG,WELL-00011,,3529,0.43776050112586523,0.9851223433901155,0.0,0.8210332103321033,0.7790432801822323,968.3076923076923
3w-outer31001-seed43-no_aug,3W,31001,43,NO_AUG,WELL-00013,,319,0.9181253529079616,0.9924310609634663,0.0,0.8780487804878049,0.8626373626373627,827.0
3w-outer31001-seed43-no_aug,3W,31001,43,NO_AUG,WELL-00016,,2007,0.2950436077430334,0.9996456847079807,0.20606754436176303,1.0,1.0,6.0
3w-outer31001-seed43-no_aug,3W,31001,43,NO_AUG,WELL-00019,,34543,0.34971599575256207,0.8592776812333079,0.4639107069036792,0.8488506771204561,0.8584145824501908,43.0
3w-outer31001-seed43-no_aug,3W,31001,43,NO_AUG,WELL-00020,,120,0.0,1.0,1.0,1.0,1.0,21.0
3w-outer31001-seed43-no_aug,3W,31001,43,NO_AUG,WELL-00029,,4488,0.6400796470287736,0.9999107654182156,0.0,0.9925925925925926,0.9922269724057521,91.0
3w-outer31001-seed43-scaling,3W,31001,43,SCALING,WELL-00006,,63214,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-scaling,3W,31001,43,SCALING,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-scaling,3W,31001,43,SCALING,WELL-00011,,3529,0.43577740026462813,0.9857455723515784,0.0,0.8390221402214022,0.80125284738041,872.3076923076923
3w-outer31001-seed43-scaling,3W,31001,43,SCALING,WELL-00013,,319,0.8867934093789607,0.9975671523513016,0.0,0.8292682926829268,0.8076923076923077,1147.0
3w-outer31001-seed43-scaling,3W,31001,43,SCALING,WELL-00016,,2007,0.19533252394442194,0.9997348816260321,0.5855752718946766,1.0,1.0,6.0
3w-outer31001-seed43-scaling,3W,31001,43,SCALING,WELL-00019,,34543,0.34748567817846276,0.8471417486072089,0.4752377015295577,0.8517017106200998,0.8614290424379445,43.0
3w-outer31001-seed43-scaling,3W,31001,43,SCALING,WELL-00020,,120,0.0,1.0,1.0,1.0,1.0,21.0
3w-outer31001-seed43-scaling,3W,31001,43,SCALING,WELL-00029,,4488,0.6403854112229728,0.9999014426222907,0.0,0.9929629629629629,0.9926156237854644,91.0
3w-outer31001-seed43-uniform_diffusion,3W,31001,43,UNIFORM_DIFFUSION,WELL-00006,,63214,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-uniform_diffusion,3W,31001,43,UNIFORM_DIFFUSION,WELL-00008,,31509,1.0,0.0,0.0,nan,,
3w-outer31001-seed43-uniform_diffusion,3W,31001,43,UNIFORM_DIFFUSION,WELL-00011,,3529,0.5277024295972566,0.9849288705157211,0.0,0.8459409594095941,0.8097949886104784,835.3846153846154
3w-outer31001-seed43-uniform_diffusion,3W,31001,43,UNIFORM_DIFFUSION,WELL-00013,,319,0.9372417863466458,0.994249623244213,0.0,0.9073170731707317,0.8956043956043956,635.0
3w-outer31001-seed43-uniform_diffusion,3W,31001,43,UNIFORM_DIFFUSION,WELL-00016,,2007,0.27173053012320564,0.9993922997724276,0.31196336576989125,1.0,1.0,6.0
3w-outer31001-seed43-uniform_diffusion,3W,31001,43,UNIFORM_DIFFUSION,WELL-00019,,34543,0.3496697609390649,0.9141044478813651,0.4718478710210831,0.8515235210263721,0.8606283265036975,43.0
3w-outer31001-seed43-uniform_diffusion,3W,31001,43,UNIFORM_DIFFUSION,WELL-00020,,120,0.0,1.0,1.0,1.0,1.0,21.0
3w-outer31001-seed43-uniform_diffusion,3W,31001,43,UNIFORM_DIFFUSION,WELL-00029,,4488,0.6402641097007712,0.9999116375258508,0.0,0.9933333333333333,0.9930042751651769,91.0
