dataset,method,track,level,outer_seed,cells,macro_f1_mean,macro_f1_std,auprc_mean,auprc_std,far_mean,far_std,fault_recall_mean,fault_recall_std,early_recall_mean,early_recall_std,detection_delay_mean,detection_delay_std,worst_cell_macro_f1,worst_outer_seed,worst_model_seed,worst_run_id
3W,SCALING,TRACK_A_FROZEN_PAPER_FINAL_REFERENCE,overall,ALL,15,0.32030553431857145,0.0957333322495697,0.7702148310784936,0.11732893138939686,0.7078540017538391,0.319295383818323,0.8758297696154299,0.04193052188101376,0.8719258320052719,0.0546857037913843,1306.5137351537353,1731.0985809112933,0.14608072951932247,31002,44,3w-outer31002-seed44-scaling
3W,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,split,31001,5,0.3658952388015133,0.10932093699224774,0.7635595074455379,0.07673147655977593,0.2682103232030873,0.2917332192838327,0.8843415985892683,0.10037368471195984,0.8979955284866239,0.08856901694080803,1217.841904761905,1635.6227407750814,,,,
3W,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,split,31002,5,0.3093946473619084,0.10212264690545167,0.7097257065297264,0.2194229628657717,0.8102377628431977,0.26949154886266197,0.9966218097447797,0.0024769326240272707,0.9974714770274437,0.0026211306787245546,71.26666666666667,67.45138166775301,,,,
3W,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,split,31003,5,0.3469717768925505,0.044466924647851194,0.8559826365006789,0.01704853675959759,0.751136773727896,0.19641254770811659,0.8665087779690189,0.18326056901213245,0.8640980037846988,0.18730065821171354,83.23948717948717,37.81587670846009,,,,
3W,SoftCLT,TRACK_A_MECHANISM_ADAPTATION,overall,ALL,15,0.34075388768532405,0.028758925882259503,0.7764226168253144,0.07397206958250586,0.609861619924727,0.29735069891003313,0.9158240621010223,0.07053870845887895,0.9198550030995888,0.06932170160905195,457.44935286935294,658.5464765967613,0.23823193696485817,31001,42,3w-outer31001-seed42-softclt
3W,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,31001,5,0.489278332538362,0.07797316395587883,0.8631168935992564,0.035696361175116605,0.35461042325489983,0.17726600582511692,0.9788678158851262,0.01409131924160296,0.9785367357952355,0.014564754241765033,235.0971428571429,220.1591014473701,,,,
3W,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,31002,5,0.2526380083621662,0.04171447218431455,0.44105767168038046,0.23702895959307171,0.9191519755852082,0.010913088344947124,0.9984965197215777,0.0011393032790291467,0.9987254599650528,0.0009493061888390392,25.4,5.529717694220726,,,,
3W,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,31003,5,0.27570216016019183,0.035737046023019116,0.8838420335443976,0.018261655004788765,0.8868344214428661,0.08202127418271898,0.9759917383820997,0.018453617090383612,0.9754364497815973,0.018799328057629162,532.8666666666666,765.0506330375207,,,,
3W,TF-C,TRACK_B_METHOD_NATIVE_REPRESENTATION,overall,ALL,15,0.33920616702024003,0.13047693252837664,0.7293388662746781,0.24987380459738656,0.7201989400943246,0.31702102266265186,0.9844520246629346,0.012247605339005787,0.9842328818472952,0.012646306129303937,264.45460317460316,255.00392114958322,0.181791535646276,31002,43,3w-outer31002-seed43-tf_c
3W,TS2Vec,TRACK_B_METHOD_NATIVE_REPRESENTATION,split,31001,5,0.2775309072087788,0.10480301923109837,0.498363698917462,0.27303972971294727,0.4551857211770381,0.13412608095087866,0.713254399539353,0.2922595797930135,0.7228278467350243,0.3031023792009733,585.3219047619046,708.4643085562335,,,,
