class_2_recall,class_8_recall,class_9_recall,far,macro_f1,macro_f1_all_primary_classes,method,observed_targets,seed,well_id,windows
0.10112359550561797,,,1.0,0.09183673469387756,0.04591836734693878,FRERA,0/1,43,WELL-00012,434
0.0,,,0.0,0.4428754813863928,0.2214377406931964,JITTER_SCALING,0/1,43,WELL-00012,434
0.0,,,0.4927536231884058,0.33460803059273425,0.16730401529636713,FINAL_QDIFFCL,0/1,44,WELL-00012,434
0.0,,,1.0,0.0,0.0,FRERA,0/1,44,WELL-00012,434
0.0,,,1.0,0.0,0.0,JITTER_SCALING,0/1,44,WELL-00012,434
0.0,,,0.32753623188405795,0.3925549915397631,0.19627749576988154,FINAL_QDIFFCL,0/1,45,WELL-00012,434
0.0,,,0.0,0.49356223175965663,0.24678111587982832,FRERA,0/1,45,WELL-00012,434
0.0,,,0.0,0.4900568181818182,0.2450284090909091,JITTER_SCALING,0/1,45,WELL-00012,434
0.0,,,0.0,0.4428754813863928,0.2214377406931964,FINAL_QDIFFCL,0/1,46,WELL-00012,434
0.0,,,0.0,0.44689119170984454,0.22344559585492227,FRERA,0/1,46,WELL-00012,434
0.0,,,0.0,0.4428754813863928,0.2214377406931964,JITTER_SCALING,0/1,46,WELL-00012,434
,0.924466653853546,,0.0,0.8171695317681699,0.40858476588408493,FINAL_QDIFFCL,0/2,42,WELL-00031,11217
,0.9245627522583125,,0.0,0.8173354006988778,0.4086677003494389,FRERA,0/2,42,WELL-00031,11217
,0.924466653853546,,0.0,0.8553177217282812,0.4276588608641406,JITTER_SCALING,0/2,42,WELL-00031,11217
,0.9489717470689987,,1.0,0.46818699032808647,0.23409349516404324,FINAL_QDIFFCL,0/2,43,WELL-00031,11217
,0.9483951566403998,,0.0,0.8623939589331271,0.43119697946656355,FRERA,0/2,43,WELL-00031,11217
,0.9490678454737651,,1.0,0.46821220310055467,0.23410610155027733,JITTER_SCALING,0/2,43,WELL-00031,11217
,0.9700172977128579,,0.5178791615289766,0.7513306412534324,0.3756653206267162,FINAL_QDIFFCL,0/2,44,WELL-00031,11217
,0.9247549490678455,,1.0,0.4804533426531529,0.24022667132657646,FRERA,0/2,44,WELL-00031,11217
,0.9250432442821449,,1.0,0.4805311501597444,0.2402655750798722,JITTER_SCALING,0/2,44,WELL-00031,11217
,0.9958677685950413,,1.0,0.48021316033364225,0.24010658016682113,FINAL_QDIFFCL,0/2,45,WELL-00031,11217
,0.9251393426869114,,1.0,0.48055708081665255,0.24027854040832627,FRERA,0/2,45,WELL-00031,11217
,0.9375360369017874,,0.0,0.84083479275614,0.42041739637807,JITTER_SCALING,0/2,45,WELL-00031,11217
,0.9487795502594657,,1.0,0.4681365576102418,0.2340682788051209,FINAL_QDIFFCL,0/2,46,WELL-00031,11217
,0.9485873534499327,,1.0,0.4680861153262519,0.23404305766312594,FRERA,0/2,46,WELL-00031,11217
,0.9489717470689987,,1.0,0.46818699032808647,0.23409349516404324,JITTER_SCALING,0/2,46,WELL-00031,11217
,,0.006454587367450438,0.342985842985843,0.22101087596172708,0.11050543798086354,FINAL_QDIFFCL,0/3,42,WELL-00014,3723
,,0.007376671277086215,0.49034749034749037,0.181468369889233,0.0907341849446165,FRERA,0/3,42,WELL-00014,3723
,,0.007376671277086215,0.342985842985843,0.221834227914673,0.1109171139573365,JITTER_SCALING,0/3,42,WELL-00014,3723
,,0.44352236053480865,0.9066924066924067,0.2617910384408985,0.13089551922044926,FINAL_QDIFFCL,0/3,43,WELL-00014,3723
,,0.4292300599354541,0.9472329472329473,0.23216245933767674,0.11608122966883837,FRERA,0/3,43,WELL-00014,3723
,,0.007837713231904103,0.342985842985843,0.22224552901788128,0.11112276450894064,JITTER_SCALING,0/3,43,WELL-00014,3723
,,0.0,0.0,0.29521276595744683,0.14760638297872342,FINAL_QDIFFCL,0/3,44,WELL-00014,3723
,,0.005532503457814661,0.3281853281853282,0.22401766842858598,0.11200883421429299,FRERA,0/3,44,WELL-00014,3723
