row_type,dataset,comparison,metric,seed,delta,directional_benefit,mean_delta,std_delta,positive_seed_count,nonworse_seed_count,loso_mean_min,loso_mean_max,loso_mean_range
seed,3W,FINAL_QDIFFCL-CURRENT_R1,auprc_multiclass_macro,42,-0.0013919726223394768,-0.0013919726223394768,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,auprc_multiclass_macro,43,-0.0049428131131813435,-0.0049428131131813435,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,auprc_multiclass_macro,44,0.1423439368310372,0.1423439368310372,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,auprc_multiclass_macro,45,-0.007766453373833859,-0.007766453373833859,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,auprc_multiclass_macro,46,0.0744562863737882,0.0744562863737882,,,,,,,
summary,3W,FINAL_QDIFFCL-CURRENT_R1,auprc_multiclass_macro,,,,0.04053979681909414,0.06647338958133511,2,2,0.015088761816108381,0.05261635936732614,0.03752759755121776
seed,3W,FINAL_QDIFFCL-CURRENT_R1,far,42,-0.01681540953102928,0.01681540953102928,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,far,43,-0.0023775886427069848,0.0023775886427069848,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,far,44,-0.06988043141173633,0.06988043141173633,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,far,45,0.01230143689052754,-0.01230143689052754,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,far,46,0.1813514351676372,-0.1813514351676372,,,,,,,
summary,3W,FINAL_QDIFFCL-CURRENT_R1,far,,,,0.020915888494538425,0.0948999236684283,3,3,-0.019192998173736264,0.043614968471107116,0.06280796664484338
seed,3W,FINAL_QDIFFCL-CURRENT_R1,early_recall,42,-0.002222472289427735,-0.002222472289427735,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,early_recall,43,-0.0042761492151015545,-0.0042761492151015545,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,early_recall,44,0.13804647499015354,0.13804647499015354,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,early_recall,45,0.002222472289427735,0.002222472289427735,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,early_recall,46,0.08560738198390816,0.08560738198390816,,,,,,,
summary,3W,FINAL_QDIFFCL-CURRENT_R1,early_recall,,,,0.04387554155179203,0.0647848392629307,3,3,0.02033280819220165,0.055913464243515426,0.035580656051313775
seed,3W,FINAL_QDIFFCL-CURRENT_R1,mean_detection_delay_seconds,42,21.81818181818187,-21.81818181818187,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,mean_detection_delay_seconds,43,15.23809523809524,-15.23809523809524,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,mean_detection_delay_seconds,44,-87.50378787878785,87.50378787878785,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,mean_detection_delay_seconds,45,-4.173913043478258,4.173913043478258,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,mean_detection_delay_seconds,46,-58.746753246753244,58.746753246753244,,,,,,,
summary,3W,FINAL_QDIFFCL-CURRENT_R1,mean_detection_delay_seconds,,,,-22.673635422548447,48.1229657965628,3,3,-33.79658973273103,-6.466097308488598,27.33049242424243
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_2_recall,42,0.0,0.0,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_2_recall,43,-0.012405848471422232,-0.012405848471422232,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_2_recall,44,0.00044306601683652413,0.00044306601683652413,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_2_recall,45,0.04076207354895878,0.04076207354895878,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_2_recall,46,0.20735489587948608,0.20735489587948608,,,,,,,
summary,3W,FINAL_QDIFFCL-CURRENT_R1,class_2_recall,,,,0.04723083739477183,0.09173050319269146,3,4,0.007199822773593267,0.062140008861320345,0.05494018608772708
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_8_recall,42,-0.0011870700675716828,-0.0011870700675716828,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_8_recall,43,-0.0006391915748462651,-0.0006391915748462651,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_8_recall,44,0.38865891520058443,0.38865891520058443,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_8_recall,45,-0.014062214646618387,-0.014062214646618387,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_8_recall,46,-0.02794180312899497,-0.02794180312899497,,,,,,,
summary,3W,FINAL_QDIFFCL-CURRENT_R1,class_8_recall,,,,0.06896572715651063,0.17906332867022598,1,1,-0.010957569854507826,0.09319260972788702,0.10415017958239485
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_9_recall,42,-0.0004597701149425294,-0.0004597701149425294,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_9_recall,43,-0.05563218390804597,-0.05563218390804597,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_9_recall,44,0.0,0.0,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_9_recall,45,0.03448275862068967,0.03448275862068967,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_9_recall,46,0.5650574712643678,0.5650574712643678,,,,,,,
summary,3W,FINAL_QDIFFCL-CURRENT_R1,class_9_recall,,,,0.10868965517241379,0.2571511967895642,2,3,-0.005402298850574709,0.14977011494252873,0.15517241379310345
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_2_f1,42,-0.00043275472423903727,-0.00043275472423903727,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_2_f1,43,-0.016404175491028683,-0.016404175491028683,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_2_f1,44,-0.028183265984477235,-0.028183265984477235,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_2_f1,45,0.029969651232614414,0.029969651232614414,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_2_f1,46,0.21030106658525294,0.21030106658525294,,,,,,,
summary,3W,FINAL_QDIFFCL-CURRENT_R1,class_2_f1,,,,0.03905010432362448,0.09818827080564838,2,2,-0.0037626362417826353,0.05585844690064991,0.05962108314243254
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_8_f1,42,0.0050394832515960886,0.0050394832515960886,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_8_f1,43,-0.00026802098305211963,-0.00026802098305211963,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_8_f1,44,0.3217479582538215,0.3217479582538215,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_8_f1,45,-0.007971787327971658,-0.007971787327971658,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_8_f1,46,-0.08259536109249332,-0.08259536109249332,,,,,,,
summary,3W,FINAL_QDIFFCL-CURRENT_R1,class_8_f1,,,,0.0471904544203801,0.1575579774181438,2,2,-0.021448921537980253,0.07963690829859846,0.10108582983657871
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_9_f1,42,-0.0005284991549566933,-0.0005284991549566933,,,,,,,
seed,3W,FINAL_QDIFFCL-CURRENT_R1,class_9_f1,43,-0.011199280373266174,-0.011199280373266174,,,,,,,
