dataset,channel,frequency_bin,unsafe_rate,safe_prob,valid_support
3W,10,8,0.0,1.0,11
3W,10,9,0.0,1.0,11
3W,10,10,0.0,1.0,11
3W,10,11,0.0,1.0,11
3W,10,12,0.0,1.0,11
3W,10,13,0.0,1.0,11
3W,10,14,0.0,1.0,11
3W,10,15,0.0,1.0,11
3W,10,16,0.0,1.0,11
3W,10,17,0.0,1.0,11
3W,10,18,0.0,1.0,11
3W,10,19,0.0,1.0,11
3W,10,20,0.0,1.0,11
3W,10,21,0.0,1.0,11
3W,10,22,0.0,1.0,11
3W,10,23,0.0,1.0,11
3W,10,24,0.0,1.0,11
3W,10,25,0.0,1.0,11
3W,10,26,0.0,1.0,11
3W,10,27,0.0,1.0,11
3W,10,28,0.0,1.0,11
3W,10,29,0.0,1.0,11
3W,10,30,0.0,1.0,11
3W,10,31,0.0,1.0,11
3W,10,32,0.0,1.0,11
3W,11,0,0.54545456,0.45454547,11
3W,11,1,0.0,1.0,11
3W,11,2,0.18181819,0.8181818,11
3W,11,3,0.09090909,0.90909094,11
3W,11,4,0.18181819,0.8181818,11
3W,11,5,0.18181819,0.8181818,11
3W,11,6,0.09090909,0.90909094,11
3W,11,7,0.09090909,0.90909094,11
3W,11,8,0.18181819,0.8181818,11
3W,11,9,0.0,1.0,11
3W,11,10,0.0,1.0,11
3W,11,11,0.0,1.0,11
3W,11,12,0.0,1.0,11
3W,11,13,0.0,1.0,11
3W,11,14,0.0,1.0,11
3W,11,15,0.09090909,0.90909094,11
3W,11,16,0.0,1.0,11
3W,11,17,0.0,1.0,11
3W,11,18,0.09090909,0.90909094,11
3W,11,19,0.0,1.0,11
3W,11,20,0.0,1.0,11
3W,11,21,0.09090909,0.90909094,11
3W,11,22,0.09090909,0.90909094,11
3W,11,23,0.0,1.0,11
3W,11,24,0.0,1.0,11
3W,11,25,0.0,1.0,11
3W,11,26,0.0,1.0,11
3W,11,27,0.0,1.0,11
3W,11,28,0.0,1.0,11
3W,11,29,0.09090909,0.90909094,11
3W,11,30,0.0,1.0,11
3W,11,31,0.0,1.0,11
3W,11,32,0.0,1.0,11
3W,12,0,0.27272728,0.72727275,11
3W,12,1,0.36363637,0.6363636,11
3W,12,2,0.45454547,0.54545456,11
3W,12,3,0.27272728,0.72727275,11
3W,12,4,0.27272728,0.72727275,11
3W,12,5,0.09090909,0.90909094,11
3W,12,6,0.09090909,0.90909094,11
3W,12,7,0.09090909,0.90909094,11
3W,12,8,0.09090909,0.90909094,11
3W,12,9,0.09090909,0.90909094,11
3W,12,10,0.09090909,0.90909094,11
3W,12,11,0.09090909,0.90909094,11
3W,12,12,0.09090909,0.90909094,11
3W,12,13,0.09090909,0.90909094,11
3W,12,14,0.09090909,0.90909094,11
3W,12,15,0.09090909,0.90909094,11
3W,12,16,0.09090909,0.90909094,11
3W,12,17,0.09090909,0.90909094,11
3W,12,18,0.09090909,0.90909094,11
3W,12,19,0.09090909,0.90909094,11
3W,12,20,0.09090909,0.90909094,11
3W,12,21,0.09090909,0.90909094,11
3W,12,22,0.09090909,0.90909094,11
3W,12,23,0.09090909,0.90909094,11
3W,12,24,0.09090909,0.90909094,11
3W,12,25,0.09090909,0.90909094,11
3W,12,26,0.09090909,0.90909094,11
3W,12,27,0.09090909,0.90909094,11
3W,12,28,0.09090909,0.90909094,11
3W,12,29,0.09090909,0.90909094,11
3W,12,30,0.09090909,0.90909094,11
3W,12,31,0.09090909,0.90909094,11
3W,12,32,0.09090909,0.90909094,11
3W,13,0,0.45454547,0.54545456,11
3W,13,1,0.36363637,0.6363636,11
3W,13,2,0.36363637,0.6363636,11
3W,13,3,0.45454547,0.54545456,11
3W,13,4,0.36363637,0.6363636,11
3W,13,5,0.36363637,0.6363636,11
3W,13,6,0.36363637,0.6363636,11
3W,13,7,0.18181819,0.8181818,11
3W,13,8,0.27272728,0.72727275,11
3W,13,9,0.18181819,0.8181818,11
3W,13,10,0.27272728,0.72727275,11
3W,13,11,0.27272728,0.72727275,11
3W,13,12,0.27272728,0.72727275,11
3W,13,13,0.45454547,0.54545456,11
3W,13,14,0.18181819,0.8181818,11
3W,13,15,0.27272728,0.72727275,11
3W,13,16,0.27272728,0.72727275,11
3W,13,17,0.27272728,0.72727275,11
3W,13,18,0.09090909,0.90909094,11
3W,13,19,0.27272728,0.72727275,11
3W,13,20,0.36363637,0.6363636,11
3W,13,21,0.36363637,0.6363636,11
3W,13,22,0.18181819,0.8181818,11
3W,13,23,0.36363637,0.6363636,11
3W,13,24,0.27272728,0.72727275,11
3W,13,25,0.45454547,0.54545456,11
3W,13,26,0.36363637,0.6363636,11
3W,13,27,0.45454547,0.54545456,11
3W,13,28,0.27272728,0.72727275,11
3W,13,29,0.36363637,0.6363636,11
3W,13,30,0.36363637,0.6363636,11
3W,13,31,0.36363637,0.6363636,11
3W,13,32,0.09090909,0.90909094,11
3W,14,0,0.45454547,0.54545456,11
3W,14,1,0.72727275,0.27272728,11
3W,14,2,0.6363636,0.36363637,11
3W,14,3,0.72727275,0.27272728,11
3W,14,4,0.90909094,0.09090909,11
3W,14,5,0.90909094,0.09090909,11
3W,14,6,1.0,0.0,11
3W,14,7,1.0,0.0,11
3W,14,8,0.90909094,0.09090909,11
3W,14,9,0.90909094,0.09090909,11
