dataset,channel,frequency_bin,domain_score,domain_mask,fault_mask,quadrant
3W,6,2,0.0,0.22206896543502808,0.4668987989425659,fault_low_domain_low
3W,6,3,0.0,0.22206896543502808,0.7710152268409729,fault_high_domain_low
3W,6,4,0.0,0.22206896543502808,0.7078519463539124,fault_high_domain_low
3W,6,5,0.0,0.22206896543502808,0.6919912695884705,fault_high_domain_low
3W,6,6,0.0,0.22206896543502808,0.44132664799690247,fault_low_domain_low
3W,6,7,0.0,0.22206896543502808,0.470511257648468,fault_low_domain_low
3W,6,8,0.0,0.22206896543502808,0.44997256994247437,fault_low_domain_low
3W,6,9,0.0,0.22206896543502808,0.767113983631134,fault_high_domain_low
3W,6,10,0.0,0.22206896543502808,0.5097289681434631,fault_high_domain_low
3W,6,11,0.0,0.22206896543502808,0.5049134492874146,fault_high_domain_low
3W,6,12,0.0,0.22206896543502808,0.6749945282936096,fault_high_domain_low
3W,6,13,0.0,0.22206896543502808,0.47079238295555115,fault_low_domain_low
3W,6,14,0.0,0.22206896543502808,0.5,fault_high_domain_low
3W,6,15,0.0,0.22206896543502808,0.760787844657898,fault_high_domain_low
3W,6,16,0.0,0.22206896543502808,0.44997256994247437,fault_low_domain_low
3W,6,17,0.0,0.22206896543502808,0.4746820628643036,fault_low_domain_low
3W,6,18,0.0,0.22206896543502808,0.5816051959991455,fault_high_domain_low
3W,6,19,0.0,0.22206896543502808,0.50309818983078,fault_high_domain_low
3W,6,20,0.0,0.22206896543502808,0.4908030331134796,fault_low_domain_low
3W,6,21,0.0,0.22206896543502808,0.4720304012298584,fault_low_domain_low
3W,6,22,0.0,0.22206896543502808,0.5842769742012024,fault_high_domain_low
3W,6,23,0.0,0.22206896543502808,0.5256547331809998,fault_high_domain_low
3W,6,24,0.0,0.22206896543502808,0.44997256994247437,fault_low_domain_low
3W,6,25,0.0,0.22206896543502808,0.5188705921173096,fault_high_domain_low
3W,6,26,0.0,0.22206896543502808,0.4829712510108948,fault_low_domain_low
3W,6,27,0.0,0.22206896543502808,0.5055442452430725,fault_high_domain_low
3W,6,28,0.0,0.22206896543502808,0.46397665143013,fault_low_domain_low
3W,6,29,0.0,0.22206896543502808,0.5336496233940125,fault_high_domain_low
3W,6,30,0.0,0.22206896543502808,0.5420804619789124,fault_high_domain_low
3W,6,31,0.0,0.22206896543502808,0.4709973633289337,fault_low_domain_low
3W,6,32,0.0,0.22206896543502808,0.44997256994247437,fault_low_domain_low
3W,7,0,0.5683480501174927,0.8703448176383972,0.8321351408958435,fault_high_domain_high
3W,7,1,0.0,0.22206896543502808,0.6564745903015137,fault_high_domain_low
3W,7,2,0.0,0.22206896543502808,0.6465120911598206,fault_high_domain_low
3W,7,3,0.0,0.22206896543502808,0.6719673871994019,fault_high_domain_low
3W,7,4,0.0,0.22206896543502808,0.7166516184806824,fault_high_domain_low
3W,7,5,0.0,0.22206896543502808,0.6685459613800049,fault_high_domain_low
3W,7,6,0.0,0.22206896543502808,0.6161840558052063,fault_high_domain_low
3W,7,7,0.0,0.22206896543502808,0.6358293294906616,fault_high_domain_low
3W,7,8,0.0,0.22206896543502808,0.6404368281364441,fault_high_domain_low
3W,7,9,0.0,0.22206896543502808,0.6729689836502075,fault_high_domain_low
3W,7,10,0.0,0.22206896543502808,0.6795855760574341,fault_high_domain_low
3W,7,11,0.0,0.22206896543502808,0.6737107634544373,fault_high_domain_low
3W,7,12,0.0,0.22206896543502808,0.6327875852584839,fault_high_domain_low
3W,7,13,0.0,0.22206896543502808,0.6805259585380554,fault_high_domain_low
3W,7,14,0.0,0.22206896543502808,0.6926126480102539,fault_high_domain_low
3W,7,15,0.0,0.22206896543502808,0.670555830001831,fault_high_domain_low
3W,7,16,0.0,0.22206896543502808,0.5505610704421997,fault_high_domain_low
3W,7,17,0.0,0.22206896543502808,0.666546106338501,fault_high_domain_low
3W,7,18,0.0,0.22206896543502808,0.7112676501274109,fault_high_domain_low
3W,7,19,0.0,0.22206896543502808,0.6901841759681702,fault_high_domain_low
3W,7,20,0.0,0.22206896543502808,0.6564543843269348,fault_high_domain_low
3W,7,21,0.0,0.22206896543502808,0.6664155125617981,fault_high_domain_low
3W,7,22,0.0,0.22206896543502808,0.6755118370056152,fault_high_domain_low
3W,7,23,0.0,0.22206896543502808,0.6224969625473022,fault_high_domain_low
3W,7,24,0.0,0.22206896543502808,0.620222806930542,fault_high_domain_low
