dataset,variant,seed,metric,value,delta_vs_full,delta_vs_uniform
3W,W/O_D,44,class_2_f1,0.39344262295081966,-0.028661238567156355,-0.03382085619465336
3W,W/O_D,44,class_8_f1,0.8633373394901638,0.31912340584784793,0.4591315412051495
3W,W/O_D,44,class_9_f1,0.0020435967302452314,0.0012244281863173184,0.0015321095813598472
3W,W/O_E,42,macro_f1,0.46367112475665456,-0.03716599055850317,-0.012691001454281925
3W,W/O_E,42,recall_macro,0.4370294890599109,-0.03536175529524416,-0.011290393755005457
3W,W/O_E,42,auprc_fault_vs_normal,0.7523064524327798,-0.031555255267281535,-0.026756025961651164
3W,W/O_E,42,auprc_multiclass_macro,0.4917989015391969,-0.03255872840217555,-0.02471035684435552
3W,W/O_E,42,far,0.5179352882395507,0.1734605974983633,0.07918403914406813
3W,W/O_E,42,early_recall,0.9189782253980757,0.02225285545490352,0.017076464299780603
3W,W/O_E,42,mean_detection_delay_seconds,43.40909090909091,-872.7272727272727,-922.1818181818182
3W,W/O_E,42,class_2_recall,0.2800177226406735,-0.0017722640673459855,-0.0017722640673459855
3W,W/O_E,42,class_8_recall,0.9763803494247276,0.033785840384732535,0.03579472819139229
3W,W/O_E,42,class_9_recall,0.009655172413793104,0.0,0.0
3W,W/O_E,42,class_2_f1,0.43752163378331604,0.008950205211887496,0.0076466760273173895
3W,W/O_E,42,class_8_f1,0.7941769926841044,-0.03645400040917002,-0.0062789009061872125
3W,W/O_E,42,class_9_f1,0.014023372287145243,-0.00018501742868696353,0.00110029536406832
3W,W/O_E,43,macro_f1,0.542142152453874,-0.011099749668055603,0.022702013600966464
3W,W/O_E,43,recall_macro,0.5595389385071106,-0.011559541822615094,0.10657386127078528
3W,W/O_E,43,auprc_fault_vs_normal,0.8800567473847152,-0.005083827040648581,0.0019537701428677945
3W,W/O_E,43,auprc_multiclass_macro,0.6624074230717388,-0.0024045610063048173,-0.0037177253131995824
3W,W/O_E,43,far,0.4977085558733331,0.00024120464491234062,0.024361669136142794
3W,W/O_E,43,early_recall,0.9431722275361504,0.0005626512125134209,0.02824509086817084
3W,W/O_E,43,mean_detection_delay_seconds,296.14285714285717,-41.14285714285711,-25.90476190476187
3W,W/O_E,43,class_2_recall,0.3965440850686752,-0.05139565795303502,0.002658396101019034
3W,W/O_E,43,class_8_recall,0.8326535581664333,-0.0005783161867657372,0.0001826261642418059
3W,W/O_E,43,class_9_recall,0.5066666666666667,0.005977011494252893,0.44781609195402305
3W,W/O_E,43,class_2_f1,0.5621859296482412,-0.042841000333805446,0.001125658269257257
3W,W/O_E,43,class_8_f1,0.8577027387167067,-0.002821591724636252,8.056283360668992e-05
3W,W/O_E,43,class_9_f1,0.11038765902033457,0.0011928329900528084,0.09638098396425315
3W,W/O_E,44,macro_f1,0.341876279571813,-0.06426122679846452,-0.024811068709895856
3W,W/O_E,44,recall_macro,0.28640498575322826,-0.06865747206481082,-0.015848920429212654
3W,W/O_E,44,auprc_fault_vs_normal,0.5588437811364972,0.09054488830571589,0.02081790167734321
3W,W/O_E,44,auprc_multiclass_macro,0.3139230349967018,-0.05140065405416627,-0.009306567872942317
3W,W/O_E,44,far,0.3729368388408394,0.059198511422762834,-0.0012404810309775693
3W,W/O_E,44,early_recall,0.678276036684859,-0.014403871040342131,-0.05418331176503688
3W,W/O_E,44,mean_detection_delay_seconds,116.125,-141.33333333333331,-74.66666666666666
3W,W/O_E,44,class_2_recall,0.2786885245901639,-0.002215330084182565,-0.00044306601683652413
3W,W/O_E,44,class_8_recall,0.23710963657393316,-0.21321604675229802,-0.06419309673099163
3W,W/O_E,44,class_9_recall,0.002758620689655172,0.0,0.0
3W,W/O_E,44,class_2_f1,0.42672998643147897,0.004626124913502949,-0.0005334927139940548
3W,W/O_E,44,class_8_f1,0.32425907425907424,-0.2199548593832416,-0.07994672402594005
3W,W/O_E,44,class_9_f1,0.0005325758920646192,-0.00028659265186329393,2.1088743179234893e-05
3W,W/O_S,42,macro_f1,0.47767765851936217,-0.023159456795795563,0.001315532308425682
3W,W/O_S,42,recall_macro,0.4514653024332288,-0.02092594192192626,0.0031454196183124394
3W,W/O_S,42,auprc_fault_vs_normal,0.772301427369257,-0.011560280330804362,-0.006761051025173992
3W,W/O_S,42,auprc_multiclass_macro,0.5128623974899861,-0.011495232451386395,-0.0036468608935663616
3W,W/O_S,42,far,0.43944040522380345,0.09496571448261604,0.000689156128320878
