dataset,split,group_type,group,metric,count,mean,std,min,p05,p25,median,p75,p95,max
TEP,train,stage,normal,critical_energy_ratio,3584,0.36573455640713554,0.011260647442412161,0.3408578932285309,0.3504217877984047,0.35741520673036575,0.36405526101589203,0.37241658568382263,0.3868651628494263,0.41016578674316406
TEP,train,stage,normal,safe_capacity,3584,0.6342654434764492,0.011260646577624371,0.5898342132568359,0.6131348371505737,0.627583384513855,0.6359447538852692,0.6425847858190536,0.649578207731247,0.6591421365737915
TEP,train,stage,normal,rho,3584,0.6342654434764492,0.011260646577624371,0.5898342132568359,0.6131348371505737,0.627583384513855,0.6359447538852692,0.6425847858190536,0.649578207731247,0.6591421365737915
TEP,train,unit,training:fault_01:0001,critical_energy_ratio,26,0.5199556648731232,0.01845860355706558,0.500909149646759,0.5019704550504684,0.5042164474725723,0.508319765329361,0.5344798862934113,0.5517570972442627,0.5544934272766113
TEP,train,unit,training:fault_01:0001,safe_capacity,26,0.48004433627312,0.018458604113071278,0.44550657272338867,0.4482429027557373,0.46552012860774994,0.49168024957180023,0.4957835301756859,0.49802955985069275,0.49909088015556335
TEP,train,unit,training:fault_01:0001,rho,26,0.48004433627312,0.018458604113071278,0.44550657272338867,0.4482429027557373,0.46552012860774994,0.49168024957180023,0.4957835301756859,0.49802955985069275,0.49909088015556335
TEP,train,unit,training:fault_01:0003,critical_energy_ratio,26,0.5232839080003592,0.01744258108324407,0.5012006163597107,0.5020012855529785,0.5095348358154297,0.51584792137146,0.53534235060215,0.5535820871591568,0.5547413229942322
TEP,train,unit,training:fault_01:0003,safe_capacity,26,0.4767160942921272,0.017442579363556848,0.4452587068080902,0.4464179202914238,0.46465763449668884,0.48415209352970123,0.4904651567339897,0.4979986920952797,0.4987993836402893
TEP,train,unit,training:fault_01:0003,rho,26,0.4767160942921272,0.017442579363556848,0.4452587068080902,0.4464179202914238,0.46465763449668884,0.48415209352970123,0.4904651567339897,0.4979986920952797,0.4987993836402893
TEP,train,unit,training:fault_01:0005,critical_energy_ratio,26,0.5150262300784771,0.017762743352870446,0.49979668855667114,0.5002323687076569,0.5008944869041443,0.5031319558620453,0.5249887257814407,0.5489009618759155,0.5514460802078247
TEP,train,unit,training:fault_01:0005,safe_capacity,26,0.4849737687752797,0.017762746225878395,0.4485539197921753,0.4510990306735039,0.47501127421855927,0.4968680292367935,0.4991055130958557,0.49976763874292374,0.5002033114433289
TEP,train,unit,training:fault_01:0005,rho,26,0.4849737687752797,0.017762746225878395,0.4485539197921753,0.4510990306735039,0.47501127421855927,0.4968680292367935,0.4991055130958557,0.49976763874292374,0.5002033114433289
TEP,train,unit,training:fault_01:0006,critical_energy_ratio,26,0.5158718686837417,0.017652290424178298,0.5003110766410828,0.5006324797868729,0.5021641254425049,0.503956139087677,0.5286650061607361,0.5488343089818954,0.5506882071495056
TEP,train,unit,training:fault_01:0006,safe_capacity,26,0.484128129023772,0.017652296889650237,0.449311763048172,0.45116569101810455,0.4713349863886833,0.496043860912323,0.4978358596563339,0.49936749041080475,0.4996889531612396
TEP,train,unit,training:fault_01:0006,rho,26,0.484128129023772,0.017652296889650237,0.449311763048172,0.45116569101810455,0.4713349863886833,0.496043860912323,0.4978358596563339,0.49936749041080475,0.4996889531612396
TEP,train,unit,training:fault_01:0007,critical_energy_ratio,26,0.5220573177704444,0.01926774883565694,0.499331533908844,0.5004223734140396,0.503469780087471,0.5159063339233398,0.5369475185871124,0.5528419762849808,0.5558047294616699
TEP,train,unit,training:fault_01:0007,safe_capacity,26,0.47794268566828507,0.01926774220623365,0.4441952705383301,0.447158046066761,0.46305248886346817,0.48409366607666016,0.4965302497148514,0.499577596783638,0.500668466091156
TEP,train,unit,training:fault_01:0007,rho,26,0.47794268566828507,0.01926774220623365,0.4441952705383301,0.447158046066761,0.46305248886346817,0.48409366607666016,0.4965302497148514,0.499577596783638,0.500668466091156
TEP,train,unit,training:fault_01:0008,critical_energy_ratio,26,0.5198684495228988,0.017318627740792732,0.5020330548286438,0.5029117465019226,0.5045917183160782,0.5101521015167236,0.5343300551176071,0.5487478375434875,0.5518576502799988
TEP,train,unit,training:fault_01:0008,safe_capacity,26,0.48013154474588543,0.017318632322029823,0.4481423497200012,0.45125213265419006,0.4656699448823929,0.48984789848327637,0.4954082816839218,0.4970882311463356,0.4979669153690338
TEP,train,unit,training:fault_01:0008,rho,26,0.48013154474588543,0.017318632322029823,0.4481423497200012,0.45125213265419006,0.4656699448823929,0.48984789848327637,0.4954082816839218,0.4970882311463356,0.4979669153690338
