auprc,auprc_mean,auprc_std,count,dataset,detection_delay_mean,detection_delay_std,early_recall,early_recall_mean,early_recall_std,effective_diffusion_budget,effective_scaling_std,far,far_mean,far_std,macro_f1,macro_f1_mean,macro_f1_std,method,rho,seed,seeds,stage
,0.6042200749759489,0.02865942781489275,3,3W,1231.4814814814815,1033.2198105702062,,0.9105775023668129,0.05994935068708906,0.0,0.05,,0.48156507321160413,0.2184822980698864,,0.3494077872361019,0.14912365821332052,,0.0,,"[42, 43, 44]",stage_c
,0.6317707204164639,0.06100048372771211,3,3W,1416.638888888889,913.9686637758417,,0.8901798777863844,0.02841182758454912,0.01348023023456335,0.0125,,0.33795644772517397,0.060593012265318914,,0.4113723033753865,0.09085943849045788,,0.75,,"[42, 43, 44]",stage_c
,0.668872976916637,0.035031234077586855,3,3W,1428.4907407407409,1104.802990765933,,0.8986573715466047,0.05142788401719061,0.01797364093363285,0.0,,0.3013550711168937,0.03661120917277629,,0.4571833814252085,0.10187262963016437,,1.0,,"[42, 43, 44]",stage_c
,0.9954896783656848,0.00037983566821462347,3,TEP,108.2,2.0784609690826494,,0.9854166666666667,0.0252590742770461,0.0,0.05,,0.04575892857142857,0.00678879746685069,,0.9703319212664819,0.006394925956206101,,0.0,,"[7, 42, 2026]",stage_c
,0.9954987286587548,0.00040740495001027205,3,TEP,109.13333333333334,2.013289182738867,,0.99375,0.006249999999999978,0.008986820466816425,0.025,,0.04501488095238095,0.004510548978043949,,0.9727530729010692,0.003034957156725978,,0.5,,"[7, 42, 2026]",stage_c
,0.9955555855821877,0.0003143759521990981,3,TEP,107.13333333333334,0.2309401076758536,,0.9979166666666667,0.0036084391824351483,0.01348023023456335,0.0125,,0.04538690476190476,0.004225378233482347,,0.9736140081911184,0.0013183028576444493,,0.75,,"[7, 42, 2026]",stage_c
,0.9770049442470663,0.010954307775020539,3,TEP,131.22857142857143,6.453096077046412,,0.8458333333333333,0.09769478406411128,0.01797364093363285,0.0,,0.04203869047619047,0.022799930723280595,,0.9103425269410701,0.022147101666520598,,1.0,,"[7, 42, 2026]",stage_c
0.522965657319033,,,,3W,,,0.8945028976537445,,,,,0.32765928121015814,,,0.5045061387771479,,,DCBR,,42,,locked_test
0.522965657319033,,,,3W,,,0.8945028976537445,,,,,0.32765928121015814,,,0.5045061387771479,,,FINAL_QDIFFCL,,42,,locked_test
0.4951720208655863,,,,3W,,,0.9060091149496428,,,,,0.3290375934667999,,,0.5059911588498179,,,JITTER_SCALING,,42,,locked_test
0.6156827228703207,,,,3W,,,0.8821808360997018,,,,,0.3587057647910134,,,0.5481219400338889,,,FRERA,,42,,locked_test
